Date,Active,New
2022-01-13,0,0
2022-01-14,0,0
2022-01-15,0,0
2022-01-16,0,0
2022-01-17,0,0
2022-01-18,0,0
2022-01-19,0,0
2022-01-20,0,0
2022-01-21,0,0
2022-01-22,0,0
2022-01-23,0,0
2022-01-24,0,0
2022-01-25,0,0
2022-01-26,0,0
2022-01-27,0,0
2022-01-28,0,0
2022-01-29,0,0
2022-01-30,0,0
2022-01-31,1,0
2022-02-01,0,0
2022-02-02,0,0
2022-02-03,0,0
2022-02-04,0,0
2022-02-05,0,0
2022-02-06,0,0
2022-02-07,0,0
2022-02-08,0,0
2022-02-09,0,0
2022-02-10,0,0
2022-02-11,0,0
2022-02-12,0,0
2022-02-13,0,0
2022-02-14,0,0
2022-02-15,0,0
2022-02-16,0,0
2022-02-17,0,0
2022-02-18,0,0
2022-02-19,0,0
2022-02-20,0,0
2022-02-21,0,0
2022-02-22,0,0
2022-02-23,0,0
2022-02-24,0,0
2022-02-25,0,0
2022-02-26,0,0
2022-02-27,0,0
2022-02-28,0,0
2022-03-01,0,0
2022-03-02,0,0
2022-03-03,0,0
2022-03-04,0,0
2022-03-05,0,0
2022-03-06,0,0
2022-03-07,0,0
2022-03-08,0,0
2022-03-09,0,0
2022-03-10,0,0
2022-03-11,0,0
2022-03-12,0,0
2022-03-13,0,0
2022-03-14,0,0
2022-03-15,0,0
2022-03-16,0,0
2022-03-17,0,0
2022-03-18,0,0
2022-03-19,0,0
2022-03-20,0,0
2022-03-21,0,0
2022-03-22,0,0
2022-03-23,0,0
2022-03-24,0,0
2022-03-25,0,0
2022-03-26,0,0
2022-03-27,0,0
2022-03-28,0,0
2022-03-29,0,0
2022-03-30,0,0
2022-03-31,0,0
2022-04-01,0,0
2022-04-02,0,0
2022-04-03,0,0
2022-04-04,0,0
2022-04-05,0,0
2022-04-06,0,0
2022-04-07,0,0
2022-04-08,0,0
2022-04-09,0,0
2022-04-10,0,0
2022-04-11,0,0
2022-04-12,0,0
2022-04-13,0,0
2022-04-14,0,0
2022-04-15,0,0
2022-04-16,0,0
2022-04-17,0,0
2022-04-18,0,0
2022-04-19,0,0
2022-04-20,0,0
2022-04-21,0,0
2022-04-22,0,0
2022-04-23,0,0
2022-04-24,0,0
2022-04-25,0,0
2022-04-26,0,0
2022-04-27,0,0
2022-04-28,0,0
2022-04-29,0,0
2022-04-30,0,0
2022-05-01,0,0
2022-05-02,0,0
2022-05-03,0,0
2022-05-04,0,0
2022-05-05,0,0
2022-05-06,0,0
2022-05-07,0,0
2022-05-08,0,0
2022-05-09,0,0
2022-05-10,0,0
2022-05-11,0,1
2022-05-12,0,0
2022-05-13,0,0
2022-05-14,0,0
2022-05-15,0,0
2022-05-16,0,0
2022-05-17,0,0
2022-05-18,0,0
2022-05-19,0,0
2022-05-20,0,0
2022-05-21,0,0
2022-05-22,0,0
2022-05-23,0,0
2022-05-24,0,0
2022-05-25,0,0
2022-05-26,0,0
2022-05-27,0,0
2022-05-28,0,0
2022-05-29,0,0
2022-05-30,0,0
2022-05-31,0,0
2022-06-01,0,0
2022-06-02,0,0
2022-06-03,0,0
2022-06-04,0,0
2022-06-05,0,0
2022-06-06,0,0
2022-06-07,0,0
2022-06-08,0,0
2022-06-09,0,0
2022-06-10,0,0
2022-06-11,0,0
2022-06-12,0,0
2022-06-13,0,0
2022-06-14,0,0
2022-06-15,0,0
2022-06-16,0,0
2022-06-17,0,0
2022-06-18,0,0
2022-06-19,0,0
2022-06-20,0,0
2022-06-21,0,0
2022-06-22,14,13384
2022-06-23,27,0
2022-06-24,11,0
2022-06-25,3,0
2022-06-26,2,0
2022-06-27,4,4
2022-06-28,9,8
2022-06-29,41,4
2022-06-30,674,463
2022-07-01,495,144
2022-07-02,87,47
2022-07-03,57,27
2022-07-04,55,26
2022-07-05,52,24
2022-07-06,245,17
2022-07-07,57,19
2022-07-08,23,6
2022-07-09,24,9
2022-07-10,23,5
2022-07-11,12,6
2022-07-12,15,6
2022-07-13,16,5
2022-07-14,16,9
2022-07-15,15,9
2022-07-16,9,6
2022-07-17,18,5
2022-07-18,12,7
2022-07-19,9,3
2022-07-20,15,6
2022-07-21,3,1
2022-07-22,17,11
2022-07-23,6,1
2022-07-24,39,33
2022-07-25,104,19
2022-07-26,21,10
2022-07-27,16,6
2022-07-28,15,13
2022-07-29,14,4
2022-07-30,37,3
2022-07-31,726,261
2022-08-01,387,84
2022-08-02,105,33
2022-08-03,106,26
2022-08-04,52,20
2022-08-05,51,13
2022-08-06,30,12
2022-08-07,27,6
2022-08-08,37,17
2022-08-09,22,12
2022-08-10,36,15
2022-08-11,12,3
2022-08-12,46,14
2022-08-13,26,8
2022-08-14,41,10
2022-08-15,15,8
2022-08-16,46,8
2022-08-17,18,34
2022-08-18,24,10
2022-08-19,12,6
2022-08-20,8,2
2022-08-21,13,6
2022-08-22,15,7
2022-08-23,28,8
2022-08-24,12,2
2022-08-25,12,3
2022-08-26,13,5
2022-08-27,32,7
2022-08-28,15,5
2022-08-29,21,10
2022-08-30,31,11
2022-08-31,24,11
2022-09-01,16,8
2022-09-02,8,3
2022-09-03,2,1
2022-09-04,23,7
2022-09-05,17,8
2022-09-06,18,5
2022-09-07,11,4
2022-09-08,6,7
2022-09-09,2,1
2022-09-10,11,6
2022-09-11,11,3
2022-09-12,8,12
2022-09-13,40,23
2022-09-14,37,15
2022-09-15,34,13
2022-09-16,36,23
2022-09-17,29,17
2022-09-18,23,13
2022-09-19,17,9
2022-09-20,20,13
2022-09-21,14,10
2022-09-22,10,5
2022-09-23,5,3
2022-09-24,14,11
2022-09-25,11,4
2022-09-26,10,7
2022-09-27,18,9
2022-09-28,29,21
2022-09-29,17,6
2022-09-30,8,6
2022-10-01,4,1
2022-10-02,8,4
2022-10-03,4,2
2022-10-04,4,1
2022-10-05,14,6
2022-10-06,10,3
2022-10-07,10,10
2022-10-08,4,4
2022-10-09,3,3
2022-10-10,5,5
2022-10-11,7,1
2022-10-12,9,7
2022-10-13,8,5
2022-10-14,6,3
2022-10-15,5,2
2022-10-16,24,1
2022-10-17,7,4
2022-10-18,10,8
2022-10-19,8,8
2022-10-20,5,2
2022-10-21,9,6
2022-10-22,8,3
2022-10-23,8,4
2022-10-24,7,2
2022-10-25,2,3
2022-10-26,3,6
2022-10-27,7,3
2022-10-28,13,9
2022-10-29,9,4
2022-10-30,7,5
