Date,Value
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,0
2022-01-22,0
2022-01-23,0
2022-01-24,0
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-29,0
2022-01-30,0
2022-01-31,3
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,0
2022-02-06,0
2022-02-07,0
2022-02-08,3
2022-02-09,0
2022-02-10,2
2022-02-11,0
2022-02-12,0
2022-02-13,0
2022-02-14,0
2022-02-15,0
2022-02-16,0
2022-02-17,0
2022-02-18,0
2022-02-19,0
2022-02-20,0
2022-02-21,0
2022-02-22,0
2022-02-23,0
2022-02-24,0
2022-02-25,0
2022-02-26,0
2022-02-27,0
2022-02-28,0
2022-03-01,0
2022-03-02,0
2022-03-03,0
2022-03-04,0
2022-03-05,0
2022-03-06,0
2022-03-07,0
2022-03-08,0
2022-03-09,0
2022-03-10,0
2022-03-11,0
2022-03-12,0
2022-03-13,0
2022-03-14,0
2022-03-15,0
2022-03-16,0
2022-03-17,0
2022-03-18,0
2022-03-19,0
2022-03-20,0
2022-03-21,0
2022-03-22,0
2022-03-23,0
2022-03-24,0
2022-03-25,0
2022-03-26,0
2022-03-27,0
2022-03-28,0
2022-03-29,0
2022-03-30,0
2022-03-31,0
2022-04-01,0
2022-04-02,0
2022-04-03,0
2022-04-04,0
2022-04-05,2
2022-04-06,0
2022-04-07,0
2022-04-08,0
2022-04-09,0
2022-04-10,0
2022-04-11,0
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,0
2022-04-16,0
2022-04-17,0
2022-04-18,0
2022-04-19,0
2022-04-20,0
2022-04-21,0
2022-04-22,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,0
2022-04-28,0
2022-04-29,0
2022-04-30,0
2022-05-01,0
2022-05-02,0
2022-05-03,0
2022-05-04,0
2022-05-05,0
2022-05-06,0
2022-05-07,0
2022-05-08,0
2022-05-09,0
2022-05-10,0
2022-05-11,4
2022-05-12,0
2022-05-13,0
2022-05-14,0
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,0
2022-05-20,0
2022-05-21,0
2022-05-22,0
2022-05-23,0
2022-05-24,0
2022-05-25,0
2022-05-26,0
2022-05-27,0
2022-05-28,0
2022-05-29,0
2022-05-30,0
2022-05-31,0
2022-06-01,3
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,0
2022-06-08,0
2022-06-09,0
2022-06-10,0
2022-06-11,0
2022-06-12,0
2022-06-13,0
2022-06-14,0
2022-06-15,0
2022-06-16,0
2022-06-17,0
2022-06-18,0
2022-06-19,0
2022-06-20,0
2022-06-21,0
2022-06-22,114
2022-06-23,38
2022-06-24,17
2022-06-25,4
2022-06-26,3
2022-06-27,37
2022-06-28,30
2022-06-29,94
2022-06-30,1797
2022-07-01,1067
2022-07-02,376
2022-07-03,480
2022-07-04,366
2022-07-05,230
2022-07-06,443
2022-07-07,267
2022-07-08,154
2022-07-09,116
2022-07-10,138
2022-07-11,135
2022-07-12,159
2022-07-13,221
2022-07-14,158
2022-07-15,246
2022-07-16,124
2022-07-17,197
2022-07-18,142
2022-07-19,138
2022-07-20,141
2022-07-21,139
2022-07-22,226
2022-07-23,115
2022-07-24,275
2022-07-25,343
2022-07-26,177
2022-07-27,100
2022-07-28,174
2022-07-29,131
2022-07-30,180
2022-07-31,2110
2022-08-01,1013
2022-08-02,425
2022-08-03,397
2022-08-04,232
2022-08-05,233
2022-08-06,156
2022-08-07,199
2022-08-08,251
2022-08-09,238
2022-08-10,191
2022-08-11,132
2022-08-12,232
2022-08-13,140
2022-08-14,179
2022-08-15,134
2022-08-16,192
2022-08-17,141
2022-08-18,126
2022-08-19,109
2022-08-20,77
2022-08-21,89
2022-08-22,103
2022-08-23,147
2022-08-24,105
2022-08-25,109
2022-08-26,88
2022-08-27,133
2022-08-28,121
2022-08-29,150
2022-08-30,185
2022-08-31,162
2022-09-01,140
2022-09-02,98
2022-09-03,159
2022-09-04,129
2022-09-05,146
2022-09-06,147
2022-09-07,115
2022-09-08,137
2022-09-09,101
2022-09-10,113
2022-09-11,140
2022-09-12,141
2022-09-13,642
2022-09-14,682
2022-09-15,873
2022-09-16,793
2022-09-17,550
2022-09-18,395
2022-09-19,377
2022-09-20,1966
2022-09-21,1320
2022-09-22,316
2022-09-23,213
2022-09-24,187
2022-09-25,151
2022-09-26,256
2022-09-27,217
2022-09-28,264
2022-09-29,194
2022-09-30,169
2022-10-01,114
2022-10-02,120
2022-10-03,190
2022-10-04,142
2022-10-05,174
2022-10-06,158
2022-10-07,105
2022-10-08,133
2022-10-09,113
2022-10-10,127
2022-10-11,93
2022-10-12,110
2022-10-13,121
2022-10-14,103
2022-10-15,159
2022-10-16,91
2022-10-17,142
2022-10-18,136
2022-10-19,204
2022-10-20,228
2022-10-21,179
2022-10-22,188
2022-10-23,173
2022-10-24,143
2022-10-25,121
2022-10-26,128
2022-10-27,98
2022-10-28,157
2022-10-29,210
2022-10-30,170
2022-10-31,235
2022-11-01,149
2022-11-02,141
2022-11-03,133
2022-11-04,162
2022-11-05,119
2022-11-06,95
2022-11-07,138
2022-11-08,115
2022-11-09,172
2022-11-10,153
2022-11-11,233
2022-11-12,110
2022-11-13,165
2022-11-14,98
2022-11-15,155
2022-11-16,148
2022-11-17,101
2022-11-18,142
2022-11-19,207
2022-11-20,230
2022-11-21,161
2022-11-22,181
